Date,Quarter,USCPI_UrbanB8284,USCPI_UrbanB67,USCPI_FoodBev,USCPI_Housing,USCPI_Transportation,US_Total_Employment,Federal funds effective rate,Prime Rate,13Mos_Libor_USD,Total Consumer Debt,Total Consumer Revolving Debt,Total Consumer Non-Revolving Debt,US GDP Y:     Gross domestic product,US GDP C: Personal consumption expenditures,US GDP C:   Goods,US GDP C:     Durable goods,US GDP C:     Nondurable goods,US GDP C:   Services,US GDP I: Gross private domestic investment,US GDP I:   Fixed investment,US GDP I:     Nonresidential,US GDP I:       Structures,US GDP I:       Equipment,US GDP I:       Intellectual property products,US GDP I:     Residential,US GDP I:   Change in private inventories,US GDP X: Net exports of goods and services,US GDP X:   Exports,US GDP X:     Goods,US GDP X:     Services,US GDP M:   Imports,US GDP M:     Goods,US GDP M:     Services,US GDP G: Government consumption expenditures and gross investment,US GDP G:   Federal,US GDP G:     National defense,US GDP G:     Nondefense,US GDP G:   State and local,US GDP Res: Residual,SP500,SP500 CHANGE,SP500 AVG DAILY CHANGE,SP500 DAILY GAP,SP500 DAILY NON-GAP CHANGE,SP500 AVG DAILY INTRA DAY VOLATILITY,SP500 QTRLY RETURN,SP500 QTRLY AVG VOLUME,US_HousingPrices_Base80,LoanDel_AllRE,LoanDel_AllCons,LoanDel_Leases,LoanDel_C&I,LoanDel_Agr,LoanDel_All,LoanChargOff_AllRE,LoanChargOff_AllCons,LoanChargOff_Leases,LoanChargOff_C&I,LoanChargOff_Agr,LoanChargOff_All,FX_USCAD,US_TotalReserves,US_MonetaryBase,Ttl_Loans_atFincos,Cons_Loans_atFincos,RE_Loans_atFincos,Biz_Loans_atFincos,All_Mtgs,Res_Mtgs,Murb_Mtgs,Ind_Mtgs,Farm_Mtgs,Ttl_ConsCrd,Ttl_Cons_Rvlving,Ttl_Cons_NonRvlving,Stud_Loans,Auto_Loans,Ttl_IndCapUtil,OECD_USBCI,OECD_USCLI,OECD_USCCI,US_NonfarmEmployees,US_CivilianLaborForce,US_LaborParticipation,US_Employed,US_Employment Ratio,US_FTEmployed,US_PTEmployed,US_UnemploymentLevel,US_UnemploymentRate,US_AverageWeeksUnempl,US_MedianWeeksUnempl,US_NewEntrantsUnempl,US_NotInLaborForce,US_NotInLaborForceSearching,US_NotInLaborForceDiscouraged,Weekly_Med_Earnings_CurDol,Weekly_Med_Earnings_CnstDol,LabProd_Q2Qchange,Unit Lab Cost Q2Q Chg,Real Hrly Comp Q2Q Chg,Nonfarm Lab Productivity Q2Q Chg,Nonfarm Unit Labor Cost Q2Q Change,Nonfarm Hourly Comp Q2Q Change,Import/Export Price All Commodities,Import/Export Price Index Fuels,Import/Export Price Index (ex fuels),Import/Export Price Index,Personal Saving % of Income,Personal Income Real (2012),Per Capita Personal Income (2012),US Population
9/30/1960,1960Q3,29.6,88.8,,,29.5,54228,2.6,4.5,,59364.65,,59364.65,3274029,2012008,,,,,352942,,,,,,,,,114720,,,135112,,,1100615,,,,,-191421,,,,,,,,,,,,,,,,,,,,,,,17688,49920,15282,15282,,,222388,135056,27353,42791,17188,59590,,59590,,18173,24.089,98.44641,1960Q3,100.7013,54228,70151,59.7,66267,56.4,,,3884,5.5,12.9,,,,,,,,2.2,-2.5,-0.6,2.4,0,2.2,,,,,10,2289.4,12609,181567
12/31/1960,1960Q4,29.8,89.3,,,29.8,53744,1.98,4.5,,60025.31,,60025.31,3232009,2014614,,,,,313843,,,,,,,,,115331,,,128739,,,1108247,,,,,-167684,,,,,,,,,,,,,,,,,,,,,,,16680,49763,15435,15435,,,227078,137804,28012,43897,17365,61248,,61248,,18083,22.317,98.05052,1960Q4,100.4865,53744,70395,59.7,65778,55.7,,,4617,6.6,12.4,,,,,,,,-3.1,7.2,1.3,-5.2,7.3,-0.8,,,,,10.4,2278,12501,182225
3/31/1961,1961Q1,29.8,89.3,,,29.7,53662,2.02,4.5,,60455.46,,60455.46,3253826,2013865,,,,,321988,,,,,,,,,114538,,,128113,,,1124703,,,,,-182394,,,,,,,,,,,,,,,,,,,,,,,16445,48362,15092,15092,,,231202,139970,28814,44762,17656,59339,,59339,,17516,22.9815,99.33058,1961Q1,100.6533,53662,70703,59.7,65850,55.6,,,4853,6.9,14.1,,,,,,,,4.6,-0.7,3,5.2,-1.6,2.7,,,,,10.4,2319.3,12683,182867
6/30/1961,1961Q2,29.8,89.4,,,30.1,53977,1.73,4.5,,60334.75,,60334.75,3309059,2043835,,,,,344549,,,,,,,,,109207,,,129675,,,1127518,,,,,-195659,,,,,,,,,,,,,,,,,,,,,,,16551,48875,15140,15140,,,236433,142752,29439,46071,18171,60597,,60597,,17654,24.6151,101.1592,1961Q2,101.1683,53977,70878,59.7,65993,55.6,,,4885,6.9,16.2,,,,,,,,13.6,-3.9,9.3,11,-4.7,5.8,,,,,11.5,2367.1,12895,183572
9/30/1961,1961Q3,30,89.9,,,30.4,54388,1.88,4.5,,60883.09,,60883.09,3372581,2053774,,,,,371335,,,,,,,,,114143,,,138263,,,1151600,,,,,-210820,,,,,,,,,,,,,,,,,,,,,,,16804,49599,15176,15176,,,242158,145992,30438,47205,18523,61082,,61082,,17513,25.1412,101.7753,1961Q3,101.0185,54388,70217,59,65541,55,,,4676,6.7,16.1,,,,,,,,5.6,-2.6,1.3,7,-3.7,1.4,,,,,11.3,2377.4,12894,184384
12/31/1961,1961Q4,30,89.9,,,30.4,54871,2.33,4.5,,62248.53,,62248.53,3438721,2095084,,,,,377479,,,,,,,,,116004,,,141551,,,1176849,,,,,-210709,,,,,,,,,,,,,,,,,,,,,,,17267,51281,15508,15508,,,248570,149497,31469,48935,18669,63435,,63435,,17599,25.1135,101.8666,1961Q4,101.2365,54871,70077,58.8,65900,55.3,,,4177,6,15.8,,,,,,,,3.9,0.7,4.1,3.4,-0.5,2.4,,,,,11.6,2439.5,13177,185129
3/31/1962,1962Q1,30.1,90.3,,,30.4,55276,2.85,4.5,,63128.57,,63128.57,3500054,2117277,,,,,397831,,,,,,,,,115322,,,145860,,,1199559,,,,,-224474,,,,,,,,,,,,,,,,,,,,,,,16951,50024,15574,15574,,,252928,151948,32058,49863,19059,62038,,62038,,17729,26.0826,101.1915,1962Q1,101.2094,55276,70414,58.9,66493,55.7,,,3921,5.6,15,,,,,,,,3.8,0.1,2.3,6.7,-0.2,4.9,,,,,11.6,2460.6,13246,185762
6/30/1962,1962Q2,30.2,90.5,,,30.8,55644,2.68,4.5,,65137.42,,65137.42,3531683,2143306,,,,,394694,,,,,,,,,121949,,,149043,,,1205618,,,,,-210218,,,,,,,,,,,,,,,,,,,,,,,17204,50908,16228,16228,,,259010,155408,32793,51139,19670,65435,,65435,,18849,26.5533,99.56155,1962Q2,100.7187,55644,70514,58.8,66670,55.6,,,3844,5.5,15.1,,,,,,,,1.3,3.5,3.3,-1.6,4.4,1.2,,,,,11.5,2473.3,13267,186426
9/30/1962,1962Q3,30.4,91.2,,,30.9,55977,2.9,4.5,,66438.33,,66438.33,3575070,2160580,,,,,401401,,,,,,,,,121735,,,150933,,,1233449,,,,,-220923,,,,,,,,,,,,,,,,,,,,,,,17236,51322,16758,16758,,,265138,159228,33629,52306,19975,66626,,66626,,19362,27.024,99.39919,1962Q3,100.8246,55977,71153,59,67192,55.7,,,3961,5.6,14.1,,,,,,,,7.5,-3.9,2.1,6.8,-3.7,1.7,,,,,10.4,2487.1,13287,187191
12/31/1962,1962Q4,30.4,91,,,31,56028,2.93,4.5,,68126.72,,68126.72,3586827,2191150,,,,,389657,,,,,,,,,117798,,,152778,,,1241969,,,,,-218639,,,,,,,,,,,,,,,,,,,,,,,16917,52257,17349,17349,,,271837,163127,34604,53822,20284,69344,,69344,,19924,25.9718,100.4257,1962Q4,101.219,56028,70854,58.4,66947,55.2,,,3907,5.5,13.6,,,,,,,,3.7,1.2,3.9,3.1,0.6,2.7,,,,,10.3,2518,13400,187905
3/31/1963,1963Q1,30.5,91.3,,,30.7,56322,2.98,4.5,,70073.41,,70073.41,3625981,2206499,,,,,410158,,,,,,,,,119586,,,149242,,,1225121,,,,,-220894,,,,,,,,,,,,,,,,,,,,,,,16701,51206,17507,17507,,,276711,166123,35211,54670,20707,68935,,68935,,20353,27.4117,100.5975,1963Q1,100.8771,56322,71423,58.6,67351,55.3,,,4072,5.7,14.5,,,,,,,,1.6,0.6,1,1.2,2.8,2.7,,,,,10.6,2531.8,13433,188484
6/30/1963,1963Q2,30.6,91.7,,,30.8,56658,2.99,4.5,,71875.59,,71875.59,3666669,2227320,,,,,416683,,,,,,,,,129146,,,152755,,,1226020,,,,,-202662,,,,,,,,,,,,,,,,,,,,,,,16825,52195,18236,18236,,,283720,170271,35925,55984,21540,72217,,72217,,21677,28.4361,100.9289,1963Q2,100.9116,56658,71626,58.5,67649,55.3,,,3977,5.6,14,,,,,,,,2.1,-0.2,1.1,3.1,-1,1.3,,,,,10.5,2564.8,13561,189130
9/30/1963,1963Q3,30.7,92.1,,,31,57077,3.48,4.5,,74169.77,,74169.77,3747278,2257536,,,,,429512,,,,,,,,,128500,,,156634,,,1280417,,,,,-219254,,,,,,,,,,,,,,,,,,,,,,,16887,52910,18867,18867,,,290691,174765,36544,57250,22132,74362,,74362,,22282,28.5469,100.6852,1963Q3,100.9956,57077,72131,58.7,68174,55.5,,,3957,5.5,14.2,,,,,,,,10.5,-4,3.5,10.2,-5.5,1.6,,,,,11,2597.2,13677,189895
12/31/1963,1963Q4,30.9,92.5,,,31.3,57360,3.38,4.5,,76581.45,,76581.45,3771845,2276347,,,,,434727,,,,,,,,,133522,,,156120,,,1267165,,,,,-203668,,,,,,,,,,,,,,,,,,,,,,,17251,54913,19557,19557,,,297560,178997,37463,58656,22444,77870,,77870,,22842,27.6885,100.6006,1963Q4,101.2719,57360,72188,58.5,68213,55.3,,,3975,5.5,13.3,,,,,,,,0.5,3.5,2.9,-0.3,5,3.5,,,,,10.7,2638.9,13847,190570
3/31/1964,1964Q1,30.9,92.6,,,31.3,57898,3.43,4.5,,79240.41,,79240.41,3851366,2321024,,,,,450997,,,,,,,,,140274,,,155973,,,1271118,,,,,-197284,,,,,,,,,,,,,,,,,,,,,,,17151,53830,19734,19734,,,302964,182697,38268,58911,23088,78041,,78041,,23295,29.0176,101.194,1964Q1,101.4298,57898,72713,58.7,68763,55.5,,,3950,5.4,13.5,,,,,,,,5,-2.2,1.1,3.4,-3.6,-1.9,,,,,12.1,2719.1,14225,191146
6/30/1964,1964Q2,31,92.9,,,31.3,58221,3.5,4.5,,81428.18,,81428.18,3893296,2362081,,,,,449373,,,,,,,,,139702,,,159484,,,1282534,,,,,-201259,,,,,,,,,,,,,,,,,,,,,,,17336,54940,20465,20465,,,309847,186972,39262,59513,24100,81812,,81812,,24758,30.0974,101.5673,1964Q2,101.5269,58221,73032,58.7,69218,55.6,,,3814,5.2,13.6,,,,,,,,0.7,2.4,2.5,2.2,2.2,3.8,,,,,11.5,2757.2,14377,191778
9/30/1964,1964Q3,31.1,93.2,,,31.3,58903,3.45,4.5,,83921.97,,83921.97,3954121,2405713,,,,,459861,,,,,,,,,144075,,,163764,,,1284051,,,,,-200199,,,,,,,,,,,,,,,,,,,,,,,17593,55887,21073,21073,,,317110,191490,40381,60501,24738,84142,,84142,,25468,30.6235,101.9635,1964Q3,101.568,58903,73290,58.7,69578,55.7,,,3712,5.1,12.7,,,,,,,,4.8,0.3,4.2,4.2,1.1,4.4,,,,,11.8,2793.6,14512,192504
12/31/1964,1964Q4,31.2,93.6,,,31.7,59421,3.85,4.5,,85959.57,,85959.57,3966335,2412580,,,,,464229,,,,,,,,,146977,,,168193,,,1283508,,,,,-196086,,,,,,,,,,,,,,,,,,,,,,,17979,57737,21641,21641,,,324179,195664,41550,61660,25305,87352,,87352,,25817,30.1805,101.7984,1964Q4,101.6964,59421,73465,58.6,69814,55.6,,,3651,5,12.7,,,,,,,,-2,5.7,1.7,-3.8,7,1.1,,,,,12.5,2837.9,14694,193131
3/31/1965,1965Q1,31.3,93.7,,,31.7,60003,4.04,4.5,,88916.07,,88916.07,4062311,2466382,,,,,508491,,,,,,,,,129870,,,162139,,,1282031,,,,,-215760,,,,,,,,,,,,,,,,,,,,,,,17848,56696,21890,21890,,,329407,199092,42154,62203,25958,87645,,87645,,26320,32.1464,102.0585,1965Q1,102.0378,60003,73949,58.7,70439,55.9,,,3510,4.7,12,,,,,,,,7,-3.1,2.3,5.8,-4,0.4,,,,,10.8,2853.5,14737,193625
6/30/1965,1965Q2,31.6,94.7,,,31.9,60690,4.04,4.5,,91830.09,,91830.09,4113629,2493584,,,,,509827,,,,,,,,,151610,,,181272,,,1297197,,,,,-195813,,,,,,,,,,,,,,,,,,,,,,,18197,57761,22747,22747,,,336146,203283,42821,63175,26867,92243,,92243,,27941,33.1709,101.2847,1965Q2,102.0367,60690,74412,58.8,71025,56.1,,,3387,4.6,11.6,,,,,,,,-0.1,2.1,-0.5,1.9,0.8,0.1,,,,,12.1,2892.4,14894,194195
9/30/1965,1965Q3,31.6,94.8,,,31.9,61490,4.01,4.5,,94126.48,,94126.48,4205086,2536430,,,,,527578,,,,,,,,,148241,,,182016,,,1340237,,,,,-208738,,,,,,,,,,,,,,,,,,,,,,,18160,58574,23408,23408,,,342763,207599,43461,64141,27562,94391,,94391,,28843,33.4201,101.2394,1965Q3,101.9022,61490,74502,58.7,71286,56.2,,,3216,4.3,11.9,,,,,,,,10.8,-5.1,3.9,8.5,-3.8,3.1,,,,,12.5,3013.8,15465,194879
12/31/1965,1965Q4,31.8,95.4,,,32,62321,4.32,4.92,,95954.72,,95954.72,4301973,2607736,,,,,531072,,,,,,,,,157301,,,190897,,,1365628,,,,,-203734,,,,,,,,,,,,,,,,,,,,,,,18757,61022,23851,23851,,,349516,211967,44212,65155,28182,97489,,97489,,29355,33.0878,101.9977,1965Q4,101.6665,62321,75093,59,72062,56.6,,,3031,4,11.4,,,,,,,,6,-1.1,2.7,7.1,-1,3.8,,,,,11.7,3032.7,15516,195456
3/31/1966,1966Q1,32.1,96.3,,,32,63192,4.65,5.35,,98446.39,,98446.39,4406693,2646233,,,,,573502,,,,,,,,,153425,,,195817,,,1391078,,,,,-222817,,,,,,,,,,,,,,,,,,,,,,,18468,59933,23642,23642,,,356093,215838,45063,66512,28680,97096,,97096,,29545,35.1921,102.4347,1966Q1,101.2185,63192,75075,58.8,72188,56.6,,,2887,3.8,11.1,,,,,,,,7.3,2.3,5.8,5.5,1.5,3.2,,,,,10.7,3059.4,15616,195915
6/30/1966,1966Q2,32.4,97.1,,,32.2,64110,5.17,5.52,,99788.67,,99788.67,4421747,2653014,,,,,565012,,,,,,,,,158035,,,200687,,,1417360,,,,,-229697,,,,,,,,,,,,,,,,,,,,,,,18745,61102,23977,23977,,,363471,219665,45872,68447,29487,100205,,100205,,30553,36.1889,101.296,1966Q2,100.6921,64110,75647,59.1,72775,56.9,,,2872,3.8,9.7,,,,,,,,-2.5,10,3.5,-2.8,9.5,2.8,,,,,11.4,3065.4,15603,196466
9/30/1966,1966Q3,32.7,98.1,,,32.5,64644,5.4,6,,100672.45,,100672.45,4459195,2683309,,,,,560844,,,,,,,,,156147,,,211943,,,1455988,,,,,-237335,,,,,,,,,,,,,,,,,,,,,,,19286,62359,24288,24288,,,369165,222649,46374,70064,30078,100989,,100989,,30785,36.7981,101.031,1966Q3,100.2992,64644,76056,59.3,73258,57.1,,,2798,3.7,10.1,,,,,,,,1.4,5.2,3,1.3,4.5,2.3,,,,,11,3110.1,15780,197096
12/31/1966,1966Q4,32.9,98.6,,,32.7,65200,5.4,6,,101788.22,,101788.22,4495777,2694488,,,,,564131,,,,,,,,,160029,,,214330,,,1481126,,,,,-261485,,,,,,,,,,,,,,,,,,,,,,,19550,64185,24796,24796,,,373695,225336,46871,71227,30261,103422,,103422,,30992,35.2752,99.73282,1966Q4,100.614,65200,76641,59.5,73729,57.3,,,2912,3.8,9.5,,,,,,,,3.3,3.3,3.3,2.6,2.9,2.1,,,,,11.6,3131.8,15845,197654
3/31/1967,1967Q1,33,98.9,34.7,30.5,32.8,65530,4.53,5.71,,102732.16,,102732.16,4535591,2710014,,,,,550286,,,,,,,,,161994,,,217676,,,1543706,,,,,-279947,,,,,,,,,,,,,,,,,,,,,,,19419,63166,24212,24212,,,376934,226776,47435,71870,30853,101348,,101348,,30550,35.8079,98.2963,1967Q1,101.0168,65530,76328,59.1,73439,56.8,,,2889,3.8,8.9,,335,,,,,,3.6,-0.1,2.5,3.2,2.2,4.5,,,,,12.8,3194,16121,198122
6/30/1967,1967Q2,33.3,99.7,34.9,30.7,33.2,65750,3.98,5.5,,103741.04,,103741.04,4538370,2747064,,,,,530378,,,,,,,,,159841,,,215946,,,1537300,,,,,-249794,,,,,,,,,,,,,,,,,,,,,,,19368,64005,24212,24212,,,382135,229221,48103,73210,31601,104131,,104131,,31214,36.5351,98.65045,1967Q2,101.152,65750,77270,59.6,74278,57.3,,,2992,3.9,8.3,,377,,,,,,3.4,4,5,1.5,5.1,4.1,,,,,11.9,3211.3,16167,198627
9/30/1967,1967Q3,33.6,100.7,35.2,30.9,33.5,66164,3.99,5.5,,105172.29,,105172.29,4581309,2761129,,,,,545930,,,,,,,,,158558,,,218782,,,1554384,,,,,-259697,,,,,,,,,,,,,,,,,,,,,,,19957,65225,24274,24274,,,389396,233555,48967,74556,32318,105544,,105544,,31251,37.0555,100.1087,1967Q3,100.904,66164,77812,59.7,74854,57.4,,,2958,3.8,8.4,4.6,410,,,,,,0.9,3.6,0.4,2.1,3.4,1.4,,,,,11.9,3235.3,16240,199212
12/31/1967,1967Q4,33.9,101.6,35.3,31.2,33.8,66900,4.51,6,,106842.64,,106842.64,4615853,2778026,,,,,557706,,,,,,,,,161549,,,230320,,,1566194,,,,,-256010,,,,,,,,,,,,,,,,,,,,,,,20770,67818,24576,24576,,,396864,238015,50022,75894,32933,108567,,108567,,31131,36.5097,100.4634,1967Q4,101.0302,66900,78491,59.9,75473,57.6,,,3018,3.8,8.6,4.8,409,,,,,,0.9,3.8,0.3,1.2,4.3,1,,,,,11.8,3265.8,16351,199733
3/31/1968,1968Q1,34.3,102.8,35.8,31.5,34.2,67295,5.05,6,,108689.05,1412.75,107276.3,4709993,2844601,,,,,568887,,,,,,,,,166086,,,243890,,,1594198,,,,,-255254,,,,,,,,,,,,,,,,,,,,,,,21315,67521,24283,24283,,,402736,241496,50625,76889,33726,107272,1439,105833,,31252,37.873,100.4673,1968Q1,100.875,67295,78256,59.6,75379,57.4,65024,10334,2877,3.7,8.5,4.1,409,,,,,,9,3.1,8,9.3,1.8,6.9,,,,,11.7,3338.2,16680,200132
6/30/1968,1968Q2,34.7,104,36.2,31.9,34.4,67904,6.07,6.5,,111067.85,1614.48,109453.37,4788688,2887917,,,,,590647,,,,,,,,,168865,,,247610,,,1602467,,,,,-275540,,,,,,,,,,,,,,,,,,,,,,,21302,68874,24816,24816,,,409458,245465,51191,78080,34722,111404,1598,109806,,32630,39.2082,100.2042,1968Q2,100.6463,67904,79120,60,76182,57.8,65517,10752,2938,3.7,7.9,4.4,425,,,,,,4.1,2.9,3.1,3.8,2.8,2.6,,,,,11.7,3378.7,16841,200621
9/30/1968,1968Q3,35.1,105.1,36.6,32.4,34.3,68487,5.78,6.45,,113754.24,1839.73,111914.51,4825799,2942042,,,,,574539,,,,,,,,,180873,,,262491,,,1607267,,,,,-250244,,,,,,,,,,,,,,,,,,,,,,,21502,70048,25322,25322,,,417114,249811,52077,79787,35439,114160,1788,112372,,33583,39.3078,100.06,1968Q3,100.6226,68487,78858,59.5,76172,57.5,65363,10863,2686,3.4,8.2,4.6,400,,,,,,0.7,6.9,2,0.2,6.5,1.1,,,,,10.6,3376.5,16782,201193
12/31/1968,1968Q4,35.5,106.4,36.8,32.9,34.5,69246,6.02,6.6,,117399.09,2041.54,115357.55,4844779,2955313,,,,,580789,,,,,,,,,176853,,,260279,,,1608726,,,,,-244716,,,,,,,,,,,,,,,,,,,,,,,22455,73139,26074,26074,,,424519,254223,52976,81335,35985,119324,2105,117219,,34348,38.1391,100.6601,1968Q4,101.0672,69246,79463,59.7,76778,57.7,65630,11033,2685,3.4,8.2,4.4,432,,,,,,-0.8,9,3,-0.9,9.2,3,,,,,11.1,3412.9,16922,201691
3/31/1969,1969Q1,36.1,108,37.2,33.4,35.7,69905,6.79,7.24,,120431.48,2307.7,118123.78,4920605,2988082,,,,,614989,,,,,,,,,156295,,,235729,,,1612372,,,,,-262502,,,,,,,,,,,,,,,,,,,,,,,22246,71768,25971,25971,,,428741,255570,53850,82775,36546,118884,2349,116535,,34568,40.1749,100.6818,1969Q1,100.8569,69905,80079,59.9,77367,57.9,66325,11011,2712,3.4,7.9,4,402,,,,,,1.2,0.7,-2.9,3.2,2.3,0.5,,,,,10.2,3413.6,16892,202092
6/30/1969,1969Q2,36.6,109.7,38,33.9,35.8,70636,8.9,8.23,,123380.66,2727.96,120652.71,4935564,3007358,,,,,611366,,,,,,,,,190547,,,282236,,,1607344,,,,,-238173,,,,,,,,,,,,,,,,,,,,,,,22723,73509,26769,26769,,,435471,259534,54742,83851,37344,123675,2698,120977,,36254,41.0085,100.4039,1969Q2,100.1597,70636,80696,60.1,77880,58,66652,11299,2816,3.5,7.7,4.4,413,,,,,,-0.4,11.1,3.9,-3.2,10.2,0.1,,,,,11.1,3471.8,17137,202592
9/30/1969,1969Q3,37.1,111.2,38.7,34.5,35.5,70917,9.15,8.5,,125319.14,3158.96,122160.18,4968164,3022020,,,,,623778,,,,,,,,,187358,,,278579,,,1610604,,,,,-242497,,,,,,,,,,,,,,,,,,,,,,,22268,73780,27304,27304,,,443256,264663,55602,85185,37806,125813,3081,122732,,36728,41.3261,100.2303,1969Q3,99.45377,70917,81290,60.3,78250,58.1,67007,11307,3040,3.7,8,4.7,483,,,,,,1.3,7.4,3.1,0.5,6.8,1.6,,,,,11.6,3525.2,17349,203196
12/31/1969,1969Q4,37.7,112.9,39.4,35,36.3,71240,8.97,8.5,,127156.18,3604.84,123551.35,4943935,3046173,,,,,593659,,,,,,,,,192259,,,275519,,,1588938,,,,,-226210,,,,,,,,,,,,,,,,,,,,,,,23094,76752,27846,27846,,,450484,269049,56450,86611,38374,129231,3720,125511,,36946,38.7497,99.60703,1969Q4,99.04753,71240,81624,60.2,78740,58.1,66990,11769,2884,3.5,8,4.6,367,,,,,,-1.1,9.9,2.2,-1.9,10.1,1.6,,,,,11.8,3546,17402,203762
3/31/1970,1970Q1,38.2,114.5,39.8,35.8,36.5,71452,7.76,8.39,,128280,3908.14,124371.86,4936594,3065074,,,,,575953,,,,,,,,,194796,,,274617,,,1581297,,,,,-210393,,,,,,,,,,,,,,,,,,,,,,,22785,75276,27330,27330,,,462501,275424,59634,87787,39656,126663,3967,122696,,36119,39.2063,98.61846,1970Q1,98.80441,71452,82498,60.6,78863,57.9,66847,11926,3635,4.4,8.3,4.6,464,,,,,,1.8,5.9,1.2,1.3,6.1,0.8,,,,,12.4,3589.8,17576,204246
6/30/1970,1970Q2,38.8,116.3,40.2,36.3,37.5,71029,7.6,8,,129185.43,4280.08,124905.34,4943600,3078959,,,,,577205,,,,,,,,,202344,,,280044,,,1562913,,,,,-218651,,,,,,,,,,,,,,,,,,,,,,,22699,76900,27936,27543,393,,477510,284365,61926,91033,40186,129421,4229,125192,,36588,39.7411,99.14214,1970Q2,98.83854,71029,82484,60.2,78413,57.3,66700,11854,4071,4.9,8.6,4.9,505,,,,,,4.7,0.3,-0.6,6.1,0.4,0.8,,,,,12.3,3621.1,17669,204941
9/30/1970,1970Q3,39.2,117.5,40.4,36.9,37.6,70948,6.29,7.83,,130850.83,4686.66,126164.17,4989159,3105952,,,,,586598,,,,,,,,,203154,,,279401,,,1569519,,,,,-217643,,,,,,,,,,,,,,,,,,,,,,,23685,78684,28035,27525,510,,489121,288349,65327,94925,40520,131424,4603,126821,,37047,39.5178,98.14124,1970Q3,98.56532,70948,82954,60.2,78498,57,66776,11828,4456,5.4,8.9,5.2,537,,,,,,7.2,0,2.9,6.5,0.2,2.4,,,,,12.9,3680.2,17894,205664
12/31/1970,1970Q4,39.8,119.1,40.3,37.5,38.9,70790,4.9,6.92,,131551.55,4961.46,126590.09,4935693,3097520,,,,,555454,,,,,,,,,203575,,,283734,,,1570250,,,,,-189936,,,,,,,,,,,,,,,,,,,,,,,23907,80987,28208,27580,628,,498474,292240,68074,97330,40830,133660,5130,128530,,36325,37.2137,98.25208,1970Q4,98.75549,70790,83670,60.4,78594,56.7,66588,11995,5076,6.1,9.8,5.9,572,,,,,,-2.5,7.7,-0.9,-3.6,7.9,-1.8,,,,,13.2,3679.4,17830,206352
3/31/1971,1971Q1,40,119.8,40.9,37.4,39.2,70859,3.71,5.44,,135736.29,7297.56,128438.74,5069746,3156978,,,,,620212,,,,,,,,,205434,,,280390,,,1547285,,,,,-229189,,,,,,,,,,,,,,,,,,,,,,1.0064,24595,80788,27965,27218,747,,505427,296349,69955,97888,41235,134072,7364,126708,,36396,38.7346,99.94249,1971Q1,99.17711,70859,83575,60,78588,56.4,66211,12223,4987,6,10.6,6.4,612,,,,,,12.1,-3.8,4.3,12.3,-3.4,4.9,,,,,13.5,3753.2,18135,206960
6/30/1971,1971Q2,40.6,121.5,41.6,37.9,39.8,71253,4.91,5.5,,138768.93,7739.85,131029.09,5097179,3185993,,,,,637811,,,,,,,,,203915,,,301541,,,1543730,,,,,-214781,,,,,,,,,,,,,,,,,,,,,,1.0213,24864,82894,28464,27600,864,,518665,303206,72412,99736,43311,138912,7643,131269,,38139,40.1108,100.1936,1971Q2,99.38624,71253,83706,59.8,78757,56.2,66461,12518,4949,5.9,11.6,5.7,604,,,,,,0.2,4.3,0.7,1.2,4.8,2.2,,,,,14.7,3856.1,18578,207562
9/30/1971,1971Q3,40.8,122.2,41.6,38.3,39.5,71617,5.55,6,,142766.57,8230.75,134535.82,5139128,3211394,,,,,645549,,,,,,,,,214108,,,308207,,,1542925,,,,,-206610,,,,,,,,,,,,,,,,,,,,,,1.013,25347,84431,29233,28252,981,,531816,311379,74380,102483,43574,143465,8149,135316,,39412,40.5498,100.2239,1971Q3,99.4799,71617,84731,60.1,79689,56.6,67276,12514,5042,6,11.9,5.8,605,,,,,,5,2,3,3.9,1.7,1.5,,,,,13.3,3837.2,18428,208230
12/31/1971,1971Q4,41.1,123.1,42,38.7,39.4,72108,4.14,5.49,,146930.18,8245.33,138684.84,5151245,3264679,,,,,628165,,,,,,,,,194343,,,287317,,,1532081,,,,,-178398,,,,,,,,,,,,,,,,,,,,,,0.9993,25670,86798,30324,29224,1100,,544519,318411,76643,105586,43879,149243,8529,140714,,40519,38.9023,100.7643,1971Q4,100.2542,72108,85625,60.4,80471,56.8,67899,12563,5154,6,11.5,6.2,697,,,,,,-3.3,6.4,0,-3.4,6.4,-0.2,,,,,13,3878.3,18572,208829
3/31/1972,1972Q1,41.4,124,42.7,39.1,39.4,72945,3.83,4.75,,150771.06,8235.3,142535.76,5245974,3307767,,,,,669558,,,,,,,,,216433,,,329308,,,1540540,,,,,-173455,,,,,,,,,,,,,,,,,,,,,,0.9985,26515,86656,30401,29184,1217,,558457,325753,79195,108600,44909,148847,8257,140590,,42672,41.9469,101.4301,1972Q1,100.4344,72945,86611,60.5,81573,56.9,68585,12841,5038,5.8,12.3,6.6,675,,,,,,4.3,6,7,6,4.8,7.6,,,,,11.8,3898.6,18627,209299
